Unnamed: 0,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1371,23.25110179,37.79443643,21.13285738,19.34807598,25.3615181,23.19142913,1000,25.55893974,25.361518,1000,19.34807598,sim,8760
NX1372,6.227644353,9.369679163999999,9.983490872,20.59781755,22.65944325,20.2214423,1000,14.49632465,22.65944322,1000,6.227644353,non,8760
NX1373,22.33239437,25.56362209,22.06886121,22.30861928,23.51847586,25.19666296,1000,28.632842800000002,23.51847585,1000,22.06886121,Mac,8760
NX1374,32.13952998,36.00354649,30.9769959,30.57846569,32.3822566,31.01530011,1000,37.39630535,32.38225659,1000,30.57846569,sim,8760
NX1375,5.7941972999999996,4.374261697,5.342925588,6.163982399,6.984765177000001,5.116587725,1000,7.296592006,6.984765202,1000,4.374261697,lin,8760
NX1376,38.32786519,48.75003044,38.21492873,34.68508712,42.75830685,46.55683251,1000,47.42081962,42.75830687,1000,34.68508712,sim,8760
NX1377,17.16945166,15.33098343,13.10932904,10.87797357,14.29868266,13.40866484,1000,15.16105121,14.29868262,1000,10.87797357,sim,8760
NX1378,23.99707919,32.88258757,27.85623442,31.44737532,32.68247226,33.60856486,1000,34.50472273,32.68247228,1000,23.99707919,non,8760
NX1379,30.31594499,34.61813626,30.92948415,29.16567645,31.25648998,36.08966662,1000,41.95437205,31.25648996,1000,29.16567645,sim,8760
NX1380,39.41920165,36.47754887,32.63631753,34.34267944,36.42263479,39.30591852,1000,37.54175197,36.42263479,1000,32.63631753,Mac,8760
NX1381,41.09757199,43.06808362,41.68829205,39.86343022,43.742945299999995,44.73709753,1000,56.14337734,43.74294533,1000,39.86343022,sim,8760
NX1382,45.29453117,62.43735509,46.95153014,42.11061544,46.99550535,51.26538356,1000,57.312588100000006,46.99550534,1000,42.11061544,sim,8760
NX1383,24.03675011,28.58434286,27.55552057,26.80609964,28.56435752,29.99891128,1000,39.37855096,28.56435755,1000,24.03675011,non,8760
NX1384,54.22125108,62.90510953,50.35578777,45.17859226,51.60927881,55.00295493,1000,67.21933426,51.60927882,1000,45.17859226,sim,8760
NX1385,32.68252231,39.58698861,33.75170833,32.52332687,35.73086421,40.00596289999999,1000,47.70154269,35.73086421,1000,32.52332687,sim,8760
NX1386,26.322246399999997,26.75290592,24.08065027,24.65062882,26.0566425,28.561619699999998,1000,30.06078405,26.05664248,1000,24.08065027,Mac,8760
NX1387,29.6403293,36.18089152,33.36817979,35.34311969,36.89786565,35.68842895,1000,46.66924957,36.89786566,1000,29.6403293,non,8760
NX1388,25.29303238,32.9741584,32.46332086,34.6345607,36.06087364,36.85510404,1000,44.99092107,36.06087366,1000,25.29303238,non,8760
NX1389,27.86597455,33.43487673,28.79797878,27.68786838,30.494294899999996,36.93666203,1000,37.90654017,30.49429495,1000,27.68786838,sim,8760
NX1390,23.51586509,27.54116904,24.94336068,25.50840877,26.97809278,26.90346518,1000,31.15602967,26.97809276,1000,23.51586509,non,8760
NX1391,24.7748263,31.82748122,27.78748922,29.90866655,31.17390871,30.11778475,1000,34.58434113,31.17390869,1000,24.7748263,non,8760
NX1392,40.59016601,53.29163221,41.10052388,39.677903799999996,41.64954717,43.68004311,1000,51.02984451,41.64954715,1000,39.677903799999996,sim,8760
NX1393,31.18494518,38.52489008,31.24462543,30.83020733,32.4077504,33.49076236,1000,42.16225313,32.40775039,1000,30.83020733,sim,8760
NX1394,96.82315658,96.83500786,70.70061708,44.80040094,79.11525268,58.52527638,1000,75.00474247,79.11525309999999,1000,44.80040094,sim,8760
NX1395,18.41669637,15.48555401,9.363933312999999,9.282810918,11.73748345,9.40054513,1000,10.53102696,11.73748343,1000,9.282810918,sim,8760
NX1396,24.35202806,26.50662937,24.41991486,23.58181888,24.48467817,26.8475606,1000,30.83221242,24.48467816,1000,23.58181888,sim,8760
NX1397,24.94505349,35.46839645,33.46716153,32.44196851,34.36780595,39.36847947,1000,41.61929985,34.36780595,1000,24.94505349,non,8760
NX1398,45.26376822,50.01648042,41.46201485,36.88378193,46.39054534,40.13045707,1000,54.95991255,46.39054534,1000,36.88378193,sim,8760
NX1399,35.54218203,35.45822924,31.55366167,32.197966,36.21983805,35.44023228,1000,40.83000367,36.21983806,1000,31.55366167,Mac,8760
NX1400,24.61673241,29.12698343,25.98010104,24.69490112,26.33835644,26.940014,1000,34.98619187,26.33835648,1000,24.61673241,non,8760
NX1401,46.49830752,41.37802005,41.47744601,44.30351655,46.01173667,46.90771544,1000,51.133189,46.01173667,1000,41.37802005,lin,8760
NX1402,21.70704019,27.98891468,23.73139483,22.42063207,24.19811352,28.52883985,1000,32.31838216,24.19811351,1000,21.70704019,non,8760
NX1403,20.87034609,32.34963679,30.60774734,30.48424767,32.06511666,30.635004499999997,1000,39.28186289999999,32.06511664,1000,20.87034609,non,8760
NX1404,57.63328588,47.33957165,37.62918609,26.56094431,58.98522396,89.84575993,1000,28.23210219,58.98522419,1000,26.56094431,sim,8760
NX1405,16.11000528,15.82674341,15.50359459,26.1101127,27.43610738,23.41271977,1000,18.36410038,27.43610739,1000,15.50359459,Mac,8760
NX1406,31.3435827,35.93177241,29.31677116,32.99810498,36.36602237,40.46338668,1000,35.66636308,36.36602235,1000,29.31677116,Mac,8760
NX1407,38.36370491,42.06993585,30.49323784,29.69712643,31.015876000000002,31.83753203,1000,37.98210962,31.01587598,1000,29.69712643,sim,8760
NX1408,65.25177196,54.20926928,46.95241064,43.17525974,54.33067897,58.27900695,1000,52.72045924,54.33067895,1000,43.17525974,sim,8760
NX1409,36.99811854,34.09167845,31.13761719,29.16877792,32.27975529,34.46297172,1000,40.1903594,32.27975528,1000,29.16877792,sim,8760
NX1410,48.68036005,18.23062558,19.37104062,16.49935219,20.48477999,24.12283773,1000,21.96093849,20.48477993,1000,16.49935219,sim,8760
NX1411,22.478356100000003,23.51015189,22.44499716,21.54252267,23.30621024,27.33899361,1000,30.74544262,23.3062102,1000,21.54252267,sim,8760
NX1412,45.51241923,41.04085887,34.63248227,31.06677285,33.84457485,38.15454611,1000,39.32357883,33.84457481,1000,31.06677285,sim,8760
NX1413,32.54639708,46.05229884,33.63097908,30.49356214,33.14518081,37.94989418,1000,43.47869993,33.14518083,1000,30.49356214,sim,8760
NX1414,30.18160228,41.51708485,34.87935192,34.92061735,37.61667252,39.341499799999994,1000,45.97325975,37.61667255,1000,30.18160228,non,8760
NX1415,40.04803116,40.79634553,41.33595013,43.79978527,45.69497568,42.47184114,1000,47.86991303,45.69497567,1000,40.04803116,non,8760
NX1416,31.57292288,38.05189997,30.20481248,28.53374846,31.2854701,33.46815987,1000,38.87413204,31.28547009,1000,28.53374846,sim,8760
NX1417,44.29860068,47.38569828,43.87365736,44.34885429999999,46.65057133,45.44391157,1000,45.63935264,46.65057133,1000,43.87365736,Mac,8760
NX1418,39.06359002,35.96713369,32.27973003,30.1124859,32.78130077,34.89978895,1000,42.74236226,32.78130078,1000,30.1124859,sim,8760
NX1419,53.13353849,30.11479734,29.52360616,19.36288481,28.6081622,24.17275778,1000,43.5889429,28.60816231,1000,19.36288481,sim,8760
NX1420,14.68287244,18.90428564,14.83423489,14.520525899999999,15.73824995,18.65171325,1000,19.03735274,15.73824996,1000,14.520525899999999,sim,8760
